Driver,LapNumber,Compound,TyreLife,Position,LapTimeSeconds,PitThisLap,PitStopDuration,Year,Race,GridPosition,DNF,FinalPosition,StintNumber,DegradationRate,PositionMomentum,RaceCompletion,CompoundEncoded,GapToLeaderPace,RelativeTyreAge,LapsSincePit
BOT,3.0,MEDIUM,8.0,8.0,90.683,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,4.362666666666674,0.0,0.05172413793103448,1.0,2.0960000000000036,3.2105263157894735,2.0
BOT,4.0,MEDIUM,9.0,8.0,90.997,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,2.26833333333334,0.0,0.06896551724137931,1.0,2.2079999999999984,3.2105263157894735,3.0
BOT,5.0,MEDIUM,10.0,8.0,90.644,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.9036666666666757,0.0,0.08620689655172414,1.0,2.01400000000001,3.2105263157894735,4.0
BOT,6.0,MEDIUM,11.0,8.0,90.639,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.8890000000000053,0.0,0.10344827586206896,1.0,2.0459999999999923,3.2105263157894735,5.0
BOT,7.0,MEDIUM,12.0,8.0,90.195,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.6216666666666697,0.0,0.1206896551724138,1.0,1.644999999999996,3.2105263157894743,6.0
BOT,8.0,MEDIUM,13.0,8.0,90.533,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.5846666666666682,0.0,0.13793103448275862,1.0,1.9480000000000075,3.2105263157894743,7.0
BOT,9.0,MEDIUM,14.0,8.0,90.515,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.5433333333333366,0.0,0.15517241379310345,1.0,2.159000000000006,3.2105263157894743,8.0
BOT,10.0,MEDIUM,15.0,8.0,90.704,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.7130000000000034,0.0,0.1724137931034483,1.0,2.4879999999999995,3.2105263157894743,9.0
BOT,11.0,MEDIUM,16.0,8.0,90.592,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.7326666666666692,0.0,0.1896551724137931,1.0,2.4579999999999984,3.7368421052631575,10.0
BOT,12.0,MEDIUM,17.0,8.0,90.252,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.6450000000000007,0.0,0.20689655172413793,1.0,1.6859999999999928,3.7368421052631575,11.0
BOT,13.0,MEDIUM,18.0,8.0,90.079,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.4366666666666674,0.0,0.22413793103448276,1.0,1.820999999999998,3.7368421052631575,12.0
BOT,14.0,MEDIUM,19.0,8.0,90.595,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.4376666666666675,0.0,0.2413793103448276,1.0,1.203000000000003,4.578947368421053,13.0
BOT,15.0,MEDIUM,20.0,7.0,91.079,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.7133333333333336,-0.2,0.25862068965517243,1.0,2.586999999999989,5.421052631578947,14.0
BOT,16.0,MEDIUM,21.0,7.0,89.754,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.605000000000004,-0.2,0.27586206896551724,1.0,1.9210000000000065,7.2631578947368425,15.0
BOT,17.0,MEDIUM,22.0,7.0,89.692,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,1.304000000000002,-0.2,0.29310344827586204,1.0,1.911999999999992,7.2631578947368425,16.0
BOT,18.0,MEDIUM,23.0,6.0,89.478,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.7703333333333356,-0.4,0.3103448275862069,1.0,1.5889999999999986,9.210526315789474,17.0
BOT,19.0,MEDIUM,24.0,6.0,89.652,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.7363333333333344,-0.4,0.3275862068965517,1.0,1.4200000000000017,10.31578947368421,18.0
BOT,20.0,MEDIUM,25.0,5.0,89.62,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.7123333333333383,-0.4,0.3448275862068966,1.0,1.233000000000004,11.473684210526315,19.0
BOT,21.0,MEDIUM,26.0,5.0,89.647,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.7686666666666753,-0.4,0.3620689655172414,1.0,1.078000000000003,11.473684210526315,20.0
BOT,22.0,MEDIUM,27.0,4.0,89.559,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.7376666666666741,-0.6,0.3793103448275862,1.0,1.5529999999999973,14.947368421052632,21.0
BOT,23.0,MEDIUM,28.0,3.0,89.984,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.8590000000000041,-0.6,0.39655172413793105,1.0,2.320999999999998,14.947368421052632,22.0
BOT,24.0,MEDIUM,29.0,3.0,89.097,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.675666666666667,-0.6,0.41379310344827586,1.0,1.117999999999995,17.578947368421055,23.0
BOT,25.0,MEDIUM,30.0,3.0,88.871,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.44633333333333286,-0.4,0.43103448275862066,1.0,1.1460000000000008,17.578947368421055,24.0
BOT,26.0,MEDIUM,31.0,3.0,89.636,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.3303333333333332,-0.4,0.4482758620689655,1.0,1.5589999999999975,17.823529411764707,25.0
BOT,27.0,MEDIUM,32.0,3.0,88.927,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.2736666666666707,-0.2,0.46551724137931033,1.0,0.9520000000000124,17.823529411764707,26.0
BOT,28.0,MEDIUM,33.0,3.0,89.131,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.3603333333333391,0.0,0.4827586206896552,1.0,1.195999999999998,17.823529411764707,27.0
BOT,29.0,MEDIUM,34.0,3.0,89.204,0,0.0,2021,Abu Dhabi,6.0,0,6.0,0,0.21633333333333837,0.0,0.5,1.0,1.7199999999999989,19.470588235294116,28.0
BOT,30.0,MEDIUM,35.0,4.0,90.944,1,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.5583333333333371,0.2,0.5172413793103449,1.0,3.436000000000007,19.470588235294116,0.0
BOT,31.0,HARD,2.0,9.0,110.242,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,9.265000000000006,1.2,0.5344827586206896,2.0,22.747,-12.529411764705882,1.0
BOT,32.0,HARD,3.0,9.0,88.776,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,9.792000000000007,1.2,0.5517241379310345,2.0,1.3319999999999936,-12.529411764705882,2.0
BOT,33.0,HARD,4.0,9.0,88.961,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,9.131000000000006,1.2,0.5689655172413793,2.0,1.3799999999999955,-12.529411764705884,3.0
BOT,34.0,HARD,5.0,8.0,87.918,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.6896666666666722,1.0,0.5862068965517241,2.0,0.717000000000013,-12.5625,4.0
BOT,35.0,HARD,6.0,8.0,93.907,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,3.4000000000000057,0.8,0.603448275862069,2.0,6.483999999999995,-12.5625,5.0
BOT,36.0,HARD,7.0,8.0,114.468,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,11.90233333333334,-0.2,0.6206896551724138,2.0,13.001000000000005,-11.625,6.0
BOT,37.0,HARD,8.0,6.0,101.441,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,16.410000000000007,-0.6,0.6379310344827587,2.0,10.143,-4.875,7.0
